Código,Descrição,Tradução,Causas possíveis,Recomendações,
14-5,Cylinder #14 Injector:Current Below Normal,Cilindro #14 injetor: Corrente abaixo do normal,"Normalmente, problemas com o solenóide do injetor ocorrem quando o motor é aquecido e / ou quando o motor está sob vibração (cargas pesadas). ","Inspecione os conectores elétricos e a fiação, realize o ""Teste de corte do cilindro"", verifique o chicote entre o ECM e os conectores do injetor em busca de um circuito aberto.",
95-15,Engine Fuel Filter Differential Pressure:High - least severe (1),,Aumento do diferencial de pressão no filtro de combustível; Necessidade de troca do filtro de combustível; Instalação incorreta dos sensores de pressão de entrada/saída de combustível.,Checagem do posicionamento de instalação dos sensores de pressão; Troca dos filtros de combustível.,
970-31,Engine Auxiliary Engine Shutdown Switch,,Botoeira de parada do motor auxiliar pressionada.,Verificar o correto funcionamento das botoeiras de parada.,
2434-8,"Engine Exhaust Manifold Bank #1 Temperature #1:Abnormal Frequency, Pulse Width, or Period",,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
970-2,"Engine Auxiliary Engine Shutdown Switch:Erratic, Intermittent, or Incorrect",,"Botoeira defeituoso, cabo de interligação defeituoso.",Checagem do botoeira e cabos de interligação; Troca do botoeira e cabos de interligação.,
1664-31,Engine Automatic Start Failed,,Tentativa de partida não sucedida.,"Houve uma tentativa de partida não sucedida. O tempo em condição de partida foi superior ao limite configurado no ECM e ao ser o ultrapassado, o motor entra em condição de shutdown.",
105-4,Inlet Manifold Temperature Sensor:Voltage Below Normal,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
E53,Low Fuel Pressure,Baixa pressão de combustível,"Tampa do tanque de combustível, Válvula reguladora de pressão de combustível, Válvula de alívio de pressão de combustível, Nível de combustível.","Verificar tampa do tanque de combustível, válvula reguladora de pressão de combustível, válvula de alívio de p ressão de combustível e nível de combustível.",
E268,Unexpected Engine Shutdown,Parada inesperada do motor,"O módulo de controle eletrônico do motor (ECM) recebe velocidade do motor igual a zero, sem que tenha sido ativado o procedimento de desligamento do motor","Checagem de outros códigos de falha, checagem do sistema de alimentação de combustível, checagem dos injetores, transmissão ou a cessórios do motor.",
100-3,Engine Oil Pressure Sensor:Voltage Above Normal,Sensor de pressão de óleo lubrificante: Voltagem alta,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
E39,Low Engine Oil Pressure Derate,Baixa pressão de óleo lubrificante,"Baixo nível de óleo lubrificante, óleo lubrificante contaminado, viscosidade incorreta, sensores de pressão de óleo defeituosos, circulação imprópria do óleo lubrificante, componentes desgastados. Essa falha, caso não tratada, pode gerar consequências catastróficas nos motores.","Checar o nível de óleo,qualidade e viscosidade, verificar se o filtro de óleo está obstruido",
E59,Low Engine Coolant Level Warning,Baixo nível de liquido de arrefecimento.,Baixo nível de liquido de arrefecimento.,"Checar por vazamentos no sistema de arrefecimento, aftercoolers, trocadores de calor.",
110-4,Engine Coolant Temperature Sensor:Voltage Below Normal,Sensor de temperatura de arrefecimento: Voltagem baixa,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
3668-17,Engine Intercooler Coolant Level:Low - least severe (1),Baixo nível de liquido de arrefecimento no intercooler.,Baixo nível de liquido de arrefecimento no intercooler.,"Checar por vazamentos no sistema de arrefecimento, aftercoolers, trocadores de calor.",
E96,High Fuel Pressure,Alta pressão de combustível,Aumento de pressão de combustível. Necessidade de troca do filtro de combustível. Instalação incorreta dos sensores de pressão de entrada/saída de combustível. Possível falha do regulador de pressão de combustível. Possível falha na válvula de alívio de pressão da bomba de transferência de combustível. ,Checagem do posicionamento de instalação dos sensores de pressão; Troca dos filtros de combustível. Verificar linhas de combustível em busca de restrições no retorno de combustível.,
94-15,Engine Fuel Delivery Pressure:High - least severe (1),Alta pressão de entrada de Combustível,Aumento de pressão de combustível; Necessidade de troca do filtro de combustível; Instalação incorreta dos sensores de pressão de entrada/saída de combustível. Possível falha do regulador de pressão de combustível. Possível falha na válvula de alívio de pressão da bomba de transferência de combustível. ,Checagem do posicionamento de instalação dos sensores de pressão; Troca dos filtros de combustível. Verificar linhas de combustível em busca de restrições no retorno de combustível.,
E360,Low Engine Oil Pressure,Baixa pressão de óleo lubrificante,"Baixo nível de óleo lubrificante, óleo lubrificante contaminado, viscosidade incorreta, sensores de pressão de óleo defeituosos, circulação imprópria do óleo lubrificante, componentes desgastados. Essa falha, caso não tratada, pode gerar consequências catastróficas nos motores.","Checar o nível de óleo,qualidade e viscosidade, verificar se o filtro de óleo está obstruido.",
E363,High Fuel Supply Temperature,Alta temperatura de combustível de admissão,"Válvula reguladora de pressão de combustível, Nível de combustível, Linhas de combustível, Motor superaquecido.","Inspecionar a válvula reguladora de pressão de combustível de retorno. Certificar-se de que o tanque de combustível contém combustível suficiente. À medida que o nível do tanque de combustível diminui, a temperatura do combustível geralmente aumenta. Certificar-se de que o fluxo de retorno de combustível para o tanque de combustível não esteja obstruído. ",
E539,High Intake Manifold Air Temperature,Temperatura alta no coletor de admissão,"Temperatura do ar de entrada, Temperatura do refrigerante, Relação Ar / Combustível, Restrição do ar de entrada, Sensor, Conectores e fiação, Restrição de escape, Sobrecarga do motor, Pós-arrefecedor, Fluxo de refrigerante, Fluxo de ar.","Verifique se há alta temperatura do ar de entrada, verifique se há alta temperatura do fluido refrigerante, verifique a relação ar / combustível, verifique se há restrição no sistema de entrada de ar, verifique o sensor de temperatura do coletor de admissão, inspecione os conectores elétricos e a fiação, verifique se há restrição no Sistema de Exaustão, Verifique se há Sobrecarga do Motor, Verifique se há uma Temperatura de Entrada Elevada para a Água de Resfriamento pelo Pós-resfriador, Verifique se há fluxo insuficiente de água de resfriamento pelo pós-resfriador, Verifique se há fluxo insuficiente de ar pelo pós-resfriador.",
172-15,Engine Air Inlet Temperature:High - least severe (1),Alta Temperatura de Entrada de Ar,"Alta temperatura de ar ambiente, Alta temperatura do líquido de arrefecimento, Restrição de entrada de ar e/ou elevada altitude, Sensor de temperatura de ar de entrada com defeito e/ou circuito, Fluxo insuficiente de água de resfriamento através do pós-arrefecedor, Fluxo insuficiente de ar através do pós-arrefecedor.","Verificar alta temperatura de ar ambiente, Verificar temperatura de arrefecimento, Verificar se há alta restrição de ar na entrada e/ou altitude elevada, Verificar o sensor de temperatura de ar do coletor de admissão e/ou o circuito, Verificar se há fluxo suficiente de líquido de arrefecimento através do aftercooler, Verificat se há fluxo de ar suficiente através do aftercooler.",
274-3,Atmospheric Pressure Sensor:Voltage Above Normal,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
100-4,Engine Oil Pressure Sensor:Voltage Below Normal,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
101-4,Crankcase Air Pressure Sensor:Voltage Below Normal,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
274-4,Atmospheric Pressure Sensor:Voltage Below Normal,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
262-4,5 Volt Sensor DC Power Supply:Voltage Below Normal,,Tensão de 5V: Voltagem acima do normal. A alimentação 5vdc é fornecida pelo ECM e sua alteração pode indicar o mau funcionamento do mesmo.,Verificação do ECM e da estabilidade da tensão 5vdc para sensores; Verificação do chicote de interligação em busca de possíveis curtos na alimentação de todos os sensores 5vdc do motor.,
3052-9,Engine Sensing Module (ESM):Abnormal Update Rate,,Falha de comunicação entre o PLE e o ESM (Engine Sensing Module) do motor. ,"Verificação do ESM, chicotes e conectores de interligação entre o ESM e o PLE.",
1382-3,Engine Fuel Filter (suction side) Differential Pressure:Voltage Above Normal,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
1177-3,Engine Turbocharger #2 Compressor Inlet Pressure:Voltage Above Normal,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
974-5,Remote Accelerator Pedal Position:Current Below Normal,Posição do Pedal do acelerador - Corrente abaixo do normal,"Falha no sinal do acelerador do motor. Sensor defeituoso, chicote defeituoso, sensor desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
1785-3,Intake Manifold Pressure Sensor: Voltage Above Normal,Sensor de Pressão do Coletor de Admissão Tensão Acima do Normal,"Sensor defeituoso, chicote defeituoso, sensor desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
1923-5,Remote Throttle Position Sensor: Current Below Normal,Sensor remoto de posição do acelerador Corrente abaixo do normal,"Sensor defeituoso ou descalibrado , cabo de interligação defeituoso.","Checar calibragem do sensor, checar cabo de interligação ",
94-4,Fuel Delivery Pressure Sensor:Voltage Below Normal,Sensor de Pressão de Entrada de Combustível - Tensão abaixo do normal,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
111-18,Engine Coolant Level:Low - moderate severity (2),Baixo nível de liquido de arrefecimento.,Baixo nível de liquido de arrefecimento.,"Checar por vazamentos no sistema de arrefecimento, aftercoolers, trocadores de calor.",
723-8,"Engine Speed Sensor #2:Abnormal Frequency, Pulse Width, or Period","Sensor de velocidade do motor #2: Frequência anormal, largura de pulso, ou período","
Voltagem da bateria para o ECM principal, Perda do sinal primário de pulsação ECM, Códigos de diagnóstico para as solenóides do injetor, Condição de excesso de velocidade do motor","
Estabelecer comunicação com o ECM principal. Se a comunicação com o ECM primário não puder ser estabelecida, verifique se a tensão está presente no ECM principal. Verifique se o fio que transporta o sinal de pulso do ECM principal para o ECM secundário não tem uma abertura ou se o fio não está em curto.",
174-4,Engine Fuel Temperature 1:Voltage Below Normal,Sensor de Temperatura de Combustível - Tensão abaixo do normal,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
174-3,Engine Fuel Temperature 1:Voltage Above Normal,Sensor de Temperatura de Combustível - Tensão abaixo do normal,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
E279,High Aftercooler Temperature Warning,,"Circuito do Aftercooler - Baixo nível do líquido de arrefecimento, Qualidade de refrigerante, Ar no sistema de arrefecimento, Radiador, Vazamento de refrigerante, Ventilador de refrigeração do radiador defeituoso (se aplicável), Mangueiras danificadas, Regulador de temperatura com defeito, Bomba de líquido arrefecedor de água com revestimento defeituoso, Pós-resfriador.","Verificar se o motor está operando com cargas muito altas. Verificar regulador de temperatura, se existe ar no sistema de arrefecimento, vazamento de fluido de arrefecimento, mangueiras danificadas e/ou aftercooler defeituoso.",
E7,High Aftercooler Temperature Derate,,"Circuito do Aftercooler - Baixo nível do líquido de arrefecimento, Qualidade de refrigerante, Ar no sistema de arrefecimento, Radiador, Vazamento de refrigerante, Ventilador de refrigeração do radiador defeituoso (se aplicável), Mangueiras danificadas, Regulador de temperatura com defeito, Bomba de líquido arrefecedor de água com revestimento defeituoso, Pós-resfriador.","Verificar se o motor está operando com cargas muito altas. Verificar regulador de temperatura, se existe ar no sistema de arrefecimento, vazamento de fluido de arrefecimento, mangueiras danificadas e/ou aftercooler defeituoso.",
E8,High Aftercooler Temperature Shutdown,,"Circuito do Aftercooler - Baixo nível do líquido de arrefecimento, ar no sistema de arrefecimento, vazamento de fluido, mangueiras danificadas, aftercooler defeituoso, bomba de líquido arrefecedor de água com revestimento defeituoso.","Verificar se o motor está operando com cargas muito altas. Verificar regulador de temperatura, se existe ar no sistema de arrefecimento, vazamento de fluido de arrefecimento, mangueiras danificadas e/ou aftercooler defeituoso.",
111-17,Engine Coolant Level:Low - least severe (1),,Baixo nível de liquido de arrefecimento.,"Checar por vazamentos no sistema de arrefecimento, aftercoolers, trocadores de calor.",
107-16,Engine Air Filter 1 Differential Pressure:High - moderate severity (2),,Filtro de ar bloqueado/obstruído.,Checagem do filtro de ar e tubulações de admissão do motor.,
107-17,Engine Air Filter 1 Differential Pressure:High - moderate severity (2),,Filtro de ar bloqueado/obstruído.,Checagem do filtro de ar e tubulações de admissão do motor.,
E194,High Exhaust Temperature,,"Restrição da vazão de ar de admissão, vazamento no coletor de admissão ou descarga, retrição na descarga, injetores defeituosos, redução de performance do aftercooler.","Chegagem da entrada de ar do motor a procura de restrições ou vazamentos, checagem do coletor de descarga a procura de vazamentos entre o coletor e o turbo-compressor, checagem da saída da descarga de gases a procura de restrições ou alta co ntra-pressão, checagem da performance dos injetores, checagem do aftercooler a procura de vazamentos ou entupimento das aletas internas.",
E197,High Engine Oil Temperature,,"Baixo nível de óleo lubrificante, óleo lubrificante contaminado, viscosidade incorreta, sensores de pressão de óleo defeituosos, circulação imprópria do óleo lubrificante, componentes desgastados. Essa falha, caso não tratada, pode gerar consequências catastróficas nos motores.","Checar o nível de óleo,qualidade e viscosidade, verificar se o filtro de óleo está obstruido",
E361,High Engine Coolant Temperature,,"Nível de fluido de arrefecimento baixo, qualidade do fluido, ar no sistema de arrefecimento, válvula termostática, bomba de água de jaqueta, aftercooler.","Inspecionar o nível do líquido de arrefecimento e Verificar sua qualidade, Verificar presença de ar no sistema de arrefecimento, Verificar as aletas de refrigeração no radiador. Verificar o sistema de arrefecimento quanto a vazamentos. Verificar se o motor não está com sobrecarga.",
100-17,Engine Oil Pressure:Low - least severe (1),,"Baixo nível de óleo lubrificante, óleo lubrificante contaminado, viscosidade incorreta, sensores de pressão de óleo defeituosos, circulação imprópria do óleo lubrificante, componentes desgastados. Essa falha, caso não tratada, pode gerar consequências catastróficas nos motores.","Checar o nível de óleo,qualidade e viscosidade, verificar se o filtro de óleo está obstruido",
1923-6,Remote Throttle Position Sensor:Current Above Normal,,"Sensor defeituoso ou descalibrado , cabo de interligação defeituoso.","Checar calibragem do sensor, checar cabo de interligação ",
E390,Fuel Filter Restriction,,Aumento do diferencial de pressão no filtro de combustível; Necessidade de troca do filtro de combustível; Instalação incorreta dos sensores de pressão de entrada/saída de combustível.,Checagem do posicionamento de instalação dos sensores de pressão; Troca dos filtros de combustível.,
E73,High Oil Filter Differential Pressure,,Aumento do diferencial de pressão no filtro de combustível; Necessidade de troca do filtro de combustível; Instalação incorreta dos sensores de pressão de entrada/saída de combustível.,Checagem do posicionamento de instalação dos sensores de pressão; Troca dos filtros de combustível.,
175-4,Engine Oil Temperature Sensor:Voltage Below Normal,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
E390,Fuel Filter Restriction,,Aumento do diferencial de pressão no filtro de combustível; Necessidade de troca do filtro de combustível; Instalação incorreta dos sensores de pressão de entrada/saída de combustível.,Checagem do posicionamento de instalação dos sensores de pressão; Troca dos filtros de combustível.,
E171,Low Engine Oil Level,,"Baixo nível de óleo lubrificante, óleo lubrificante contaminado, viscosidade incorreta, sensores de pressão de óleo defeituosos, circulação imprópria do óleo lubrificante, componentes desgastados. Essa falha, caso não tratada, pode gerar consequências catastróficas nos motores.","Checar o nível de óleo, qualidade e viscosidade, verificar se o filtro de óleo está obstruído",
E97,Engine Derate Overriden,,"Houve bypass de proteção do motor. Acontece quando algum evento desencadeia a proteção, reduzindo a potência do motor e o operador cancela a atuação da mesma.","Checar qual evento desencadeou a redução de potência e assim, atuar para a correção do mesmo.",
168-0,Electrical System Voltage:High,,A tensão de alimentação da bateria é superior a 32 VDC por dois segundos. O ECM do motor foi alimentado por três segundos. O motor não está sendo acionado.,"Checar cabos e conectores, tensão do ECM e da bateria e Tensão do ECS.",
107-18,Engine Air Filter 1 Differential Pressure:Low - moderate severity (2),,Filtro de ar bloqueado/obstruído.,Checagem do filtro de ar e tubulações de admissão do motor.,
107-15,Engine Air Filter 1 Differential Pressure:High - least severe (1),,Filtro de ar bloqueado/obstruído.,Checagem do filtro de ar e tubulações de admissão do motor.,
E56,High Fuel Temperature Warning,Alta temperatura de combustível - Alerta,"Válvula reguladora de pressão de combustível, Nível de combustível, Linhas de combustível, Motor superaquecido.","Inspecionar a válvula reguladora de pressão de combustível de retorno. Certificar-se de que o tanque de combustível contém combustível suficiente. À medida que o nível do tanque de combustível diminui, a temperatura do combustível geralmente aumenta. Certificar-se de que o fluxo de retorno de combustível para o tanque de combustível não esteja obstruído. ",
41-3,8 Volt DC Supply:Voltage Above Normal,,Tensão de 8V: Voltagem acima do normal. A alimentação 8vdc é fornecida pelo ECM e sua alteração pode indicar o mau funcionamento do mesmo.,Verificação do ECM e da estabilidade da tensão 8vdc para sensores; Verificação do chicote de interligação em busca de possíveis curtos na alimentação de todos os sensores 8vdc do motor.,
338-5,Engine Pre-Lube Pump Relay:Current Below Normal,,O ECM detectou uma baixa corrente no relé da bomba de pré lubrificação.,"Verificar cabos e conectores, Checar operação e tensão do motor de pré lubrificação.",
110-0,Engine Coolant Temperature:High - most severe (3),,"Nível de fluido de arrefecimento baixo, qualidade do fluido, ar no sistema de arrefecimento, válvula termostática, bomba de água de jaqueta, aftercooler.","Inspecionar o nível do líquido de arrefecimento e Verificar sua qualidade, Verificar presença de ar no sistema de arrefecimento, Verificar as aletas de refrigeração no radiador. Verificar o sistema de arrefecimento quanto a vazamentos. Verificar se o motor não está com sobrecarga.",
190-0,Engine Speed:High - most severe (3),,Remoção de carga brusca no motor.,Diminuição gradual de carga desse motor.,
654-5,Engine Injector Cylinder #04:Current Below Normal,,"Normalmente, problemas com o solenóide do injetor ocorrem quando o motor é aquecido e / ou quando o motor está sob vibração (cargas pesadas). ","Inspecione os conectores elétricos e a fiação, realize o ""Teste de corte do cilindro"", verifique o chicote entre o ECM e os conectores do injetor em busca de um circuito aberto.",
273-4,Turbocharger Outlet Pressure Sensor:Voltage Below Normal,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
659-5,Cylinder #9 Injector:Current Below Normal,,"Normalmente, problemas com o solenóide do injetor ocorrem quando o motor é aquecido e / ou quando o motor está sob vibração (cargas pesadas). ","Inspecione os conectores elétricos e a fiação, realize o ""Teste de corte do cilindro"", verifique o chicote entre o ECM e os conectores do injetor em busca de um circuito aberto.",
2773-8,"Engine Fuel Supply Flow Rate:Abnormal Frequency, Pulse Width, or Period","Sensor de suprimento de combustível: Frequência anormal, largura de pulso, ou período","Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
1785-4,Intake Manifold Pressure Sensor: Voltage Below Normal,Sensor de Pressão do Coletor de Admissão Tensão Abaixo do Normal,"Sensor defeituoso, chicote defeituoso, sensor desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
127-3,Transmission Oil Pressure Sensor:Voltage Above Normal,Sensor de Pressão do Óleo de Transmissão: Tensão acima do normal,"Sensor defeituoso, chicote defeituoso, sensor desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
E30,High Transmission Oil Temperature Warning,Alta temperatura de óleo de transmissão - Alerta,"Baixo nível de óleo de transmissão, resfriador do óleo de transmissão","Checar o nível de óleo de transmissão, remover o excesso caso se aplique. Checar restrições na válvula de alívio e fazer os reparos necessários.",
E2112,Low Engine Coolant Pressure,,"Baixo nível do líquido de arrefecimento, qualidade do refrigerante, ar no sistema de arrefecimento, radiador, vazamento de refrigerante, ventilador de refrigeração do radiador defeituoso (se aplicável), mangueiras danificadas, regulador de temperatura com defeito, bomba de líquido arrefecedor de água com revestimento defeituoso, aftecooler ou carga excessiva no sistema.","Inspecionar o nível do líquido de arrefecimento e Verificar sua qualidade, Verificar presença de ar no sistema de arrefecimento, Verificar as aletas de refrigeração no radiador. Verificar o sistema de arrefecimento quanto a vazamentos. Verificar se o motor não está com sobrecarga.",
2491-3,Turbocharger #1 Compressor Inlet Temperature Sensor:Voltage Above Normal,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,
107-18,Engine Air Filter 1 Differential Pressure:Low - moderate severity (2),,Filtro de ar bloqueado/obstruído.,Checagem do filtro de ar e tubulações de admissão do motor.,
